authorMeta/fans,authorMeta/name,collectCount,commentCount,createTimeISO,diggCount,isSponsored,locationMeta/city,locationMeta/locationName,playCount,shareCount,text,videoMeta/duration,webVideoUrl
1085,fikantsy6,4,0,2025-06-16 02:16:24+00:00,46,True,Semarang City,Kopi Kenangan - Ruko Kedungmundu Semarang,7194,3,"Ngopi ga perlu mahal2, tinggal klik tag lokasinya😍 #kopikenangan #kopi #murah ",6,https://www.tiktok.com/@fikantsy6/video/7516365323013082373
37500,aditspace,13,1,2025-06-16 10:00:06+00:00,31,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,686,5,Akhirnya Kopi kenangan diponegoro udah buka rek! Proper banget buat nugas dan nongkrong✅,13,https://www.tiktok.com/@aditspace/video/7516484834932411666
14800,landreyas,33,8,2025-06-16 09:00:41+00:00,122,True,Tidak Mengisi/Tidak diketahui,Surabaya,2933,122,Akhirnya Kopi Kenangan Diponegoro Sudah Buka 😎✨,13,https://www.tiktok.com/@landreyas/video/7516469517971737874
74000,smrity.akter490,4,5,2025-06-16 08:54:28+00:00,109,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,1087,1,1 number ♥️💃🖤 #smrity #foryou #fupシ #fouryourpage #fupシforyou #kopikenangan🙏🙏 #bdtiktokofficial🇧🇩 ,13,https://www.tiktok.com/@smrity.akter490/video/7516467759136460049
1424,genyysha,349,21,2025-06-14 07:51:34+00:00,1109,True,Bogor Regency,Summarecon Bogor,23000,931,"ada yang baru di summarecon bogor! kopi kenangan naik level nih dapet view gunung & taman, kesini sih kayanya lebih enak sore-sore yaa 🙌🏻 #kopikenangansummareconbogor#kopikenangan#summareconbogor#cafebogor ",25,https://www.tiktok.com/@genyysha/video/7515709517888277816
1147,bunababashaka,0,0,2025-06-16 07:57:40+00:00,9,True,Tasikmalaya City,Kopi Kenangan - Plaza Asia,1049,0,Cek tag lokasi di bawah yak biar dapet diskon nya 😜 #kopikenangan #promokopikenangan #Tiktokgo #kulinertasik #fypシ ,6,https://www.tiktok.com/@bunababashaka/video/7516453281833422098
1161,nts.traveling,1,0,2025-06-16 04:44:42+00:00,14,True,Jakarta,Kopi Kenangan - Mall Ciputra Jakarta,1529,0,"Emang boleh semurah ini beli kopi kenangan lewat tiktok, caranya gampang klik lokasi dibawah ya ✅ #kopikenangan #TikTokGO #GoVideoRunChallenge #CreatorCuan #MakanDanLiburan #TikTokGOSchoolHolidayFest",16,https://www.tiktok.com/@nts.traveling/video/7516403550017113362
2014,dewbate,2,0,2025-06-16 04:48:02+00:00,7,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,203,0,"Tapi beneran loh, waktu ke Malaysia, Kopi Kenangan se-rame itu!",89,https://www.tiktok.com/@dewbate/video/7516404398235340037
3104,sabrinaatausarah,7,10,2025-06-15 09:32:15+00:00,32,True,Sidoarjo,Kopi Kenangan - Pertamina 54.612.55 Tropodo Sidoarjo,5372,2,#promo #promotiktok #kopikenangan #kopikenanganmantan #foryou #foryoupage ,14,https://www.tiktok.com/@sabrinaatausarah/video/7516106565804412168
1168,rekomendasikopikuliner,7,6,2025-06-15 08:28:04+00:00,138,True,Surabaya,"Satu Kenangan, Wiyung Surabaya",1637,1,hidden gem kopi kenangan versi budget terjangkau *satu kenangan #CafeVlog #rekomendasikopi #StoryDiCafe #TikTokImpact #CoffeeVibes #tiktokviral #tastanganpria #kacamatapria ,81,https://www.tiktok.com/@rekomendasikopikuliner/video/7516090020076211461
