authorMeta/fans,collectCount,commentCount,diggCount,isSponsored,playCount,shareCount,text,videoMeta/duration,webVideoUrl,tanggal,jam,hari_encoded,kota_Balikpapan,kota_Banda Aceh City,kota_Bandar Lampung City,kota_Bandung City,kota_Bandung Regency,kota_Banjarbaru,kota_Banjarmasin,kota_Banyumas Regency,kota_Banyuwangi,kota_Batam,kota_Bekasi City,kota_Bekasi Regency,kota_Binjai,kota_Bitung,kota_Bogor City,kota_Bogor Regency,kota_Central Hulu Sungai Regency,kota_Cilegon,kota_Cimahi,kota_Cirebon,kota_Cirebon City,kota_Deli Serdang Regency,kota_Denpasar,kota_Depok,kota_Garut Kota,kota_Gresik,kota_Hanoi,kota_Hoc Mon,kota_Jakarta,kota_Jambi City,kota_Jember,kota_Kapolei,kota_Kebumen,kota_Kediri City,kota_Kota Karawang,kota_Kuantan,kota_Lhokseumawe,kota_Lumajang,kota_Machang,kota_Madiun City,kota_Magelang,kota_Mahakam Ulu Regency,kota_Makassar,kota_Malang City,kota_Manado,kota_Medan Area,kota_Metro,kota_Muaro Jambi,kota_Nganjuk,kota_Padang,kota_Palembang,kota_Pasuruan Regency,kota_Pekalongan,kota_Pekanbaru,kota_Pematangsiantar,kota_Queens,kota_Salatiga,kota_Samarinda,kota_Saraphi District,kota_Semarang City,kota_Semarang Regency,kota_Sepang,kota_Serang City,kota_Sidoarjo,kota_Sleman,kota_South Tangerang,kota_Sukabumi City,kota_Sumedang,kota_Surabaya,kota_Surakarta City,kota_Tangerang City,kota_Tangerang Regency,kota_Tasikmalaya City,kota_Tegal City,kota_Tidak Mengisi/Tidak diketahui,kota_West Kutai Regency,kota_Yogyakarta City,kota_nan,username_encoded
1085,4,0,46,0,7194,3,"Ngopi ga perlu mahal2, tinggal klik tag lokasinya😍 #kopikenangan #kopi #murah ",6,https://www.tiktok.com/@fikantsy6/video/7516365323013082373,2025-06-16,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,112
37500,13,1,31,0,686,5,Akhirnya Kopi kenangan diponegoro udah buka rek! Proper banget buat nugas dan nongkrong✅,13,https://www.tiktok.com/@aditspace/video/7516484834932411666,2025-06-16,10,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,11
14800,33,8,122,0,2933,122,Akhirnya Kopi Kenangan Diponegoro Sudah Buka 😎✨,13,https://www.tiktok.com/@landreyas/video/7516469517971737874,2025-06-16,9,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,217
74000,4,5,109,0,1087,1,1 number ♥️💃🖤 #smrity #foryou #fupシ #fouryourpage #fupシforyou #kopikenangan🙏🙏 #bdtiktokofficial🇧🇩 ,13,https://www.tiktok.com/@smrity.akter490/video/7516467759136460049,2025-06-16,8,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,359
1424,349,21,1109,0,23000,931,"ada yang baru di summarecon bogor! kopi kenangan naik level nih dapet view gunung & taman, kesini sih kayanya lebih enak sore-sore yaa 🙌🏻 #kopikenangansummareconbogor#kopikenangan#summareconbogor#cafebogor ",25,https://www.tiktok.com/@genyysha/video/7515709517888277816,2025-06-14,7,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,123
1147,0,0,9,0,1049,0,Cek tag lokasi di bawah yak biar dapet diskon nya 😜 #kopikenangan #promokopikenangan #Tiktokgo #kulinertasik #fypシ ,6,https://www.tiktok.com/@bunababashaka/video/7516453281833422098,2025-06-16,7,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,57
1161,1,0,14,0,1529,0,"Emang boleh semurah ini beli kopi kenangan lewat tiktok, caranya gampang klik lokasi dibawah ya ✅ #kopikenangan #TikTokGO #GoVideoRunChallenge #CreatorCuan #MakanDanLiburan #TikTokGOSchoolHolidayFest",16,https://www.tiktok.com/@nts.traveling/video/7516403550017113362,2025-06-16,4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,280
2014,2,0,7,0,203,0,"Tapi beneran loh, waktu ke Malaysia, Kopi Kenangan se-rame itu!",89,https://www.tiktok.com/@dewbate/video/7516404398235340037,2025-06-16,4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,81
3104,7,10,32,0,5372,2,#promo #promotiktok #kopikenangan #kopikenanganmantan #foryou #foryoupage ,14,https://www.tiktok.com/@sabrinaatausarah/video/7516106565804412168,2025-06-15,9,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,335
1168,7,6,138,0,1637,1,hidden gem kopi kenangan versi budget terjangkau *satu kenangan #CafeVlog #rekomendasikopi #StoryDiCafe #TikTokImpact #CoffeeVibes #tiktokviral #tastanganpria #kacamatapria ,81,https://www.tiktok.com/@rekomendasikopikuliner/video/7516090020076211461,2025-06-15,8,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,314
